name	command	threads	baseline_real_mean	baseline_real_se	plan_real_mean	plan_real_se	real_speedup	baseline_user_mean	baseline_user_se	plan_user_mean	plan_user_se	user_speedup
large_float_string_2048s	view_bcf	0	4.718	0.344	4.584	0.258	1.03	3.188	0.077	3.146	0.062	1.01
large_float_string_2048s	view_keep2_bcf	0	3.162	0.011	3.190	0.023	0.99	3.038	0.011	3.066	0.014	0.99
large_float_string_2048s	view_sites_bcf	0	3.322	0.195	3.170	0.066	1.05	3.024	0.028	3.010	0.036	1.00
large_float_string_2048s	query_sites	0	0.566	0.012	0.564	0.005	1.00	0.510	0.005	0.510	0.006	1.00
large_float_string_2048s	query_gt_keep2	0	1.064	0.013	1.042	0.009	1.02	0.984	0.008	0.972	0.006	1.01
large_float_string_2048s	query_gt_all	0	3.594	0.054	4.088	0.529	0.88	3.390	0.010	3.394	0.048	1.00
large_float_string_2048s	stats	0	0.560	0.010	0.562	0.009	1.00	0.504	0.004	0.508	0.004	0.99
large_float_string_2048s	filter_gt_keep2	0	3.684	0.164	3.446	0.010	1.07	3.372	0.018	3.336	0.007	1.01
