name	command	threads	rep	mode	real	user	sys
large_float_string_2048s	filter_gt_keep2	0	1	baseline	3.500000	3.370000	0.050000
large_float_string_2048s	filter_gt_keep2	0	1	plan	3.430000	3.330000	0.050000
large_float_string_2048s	filter_gt_keep2	0	2	plan	3.430000	3.340000	0.050000
large_float_string_2048s	filter_gt_keep2	0	2	baseline	3.710000	3.390000	0.160000
large_float_string_2048s	filter_gt_keep2	0	3	baseline	3.430000	3.340000	0.050000
large_float_string_2048s	filter_gt_keep2	0	3	plan	3.460000	3.350000	0.060000
large_float_string_2048s	filter_gt_keep2	0	4	plan	3.430000	3.310000	0.060000
large_float_string_2048s	filter_gt_keep2	0	4	baseline	3.470000	3.330000	0.060000
large_float_string_2048s	filter_gt_keep2	0	5	baseline	4.310000	3.430000	0.070000
large_float_string_2048s	filter_gt_keep2	0	5	plan	3.480000	3.350000	0.060000
