name	command	threads	rep	mode	cksum	bytes
ccdg_10k	query_sites	0	5	baseline	1800340945	255357
ccdg_10k	query_sites	0	5	plan	1800340945	255357
ccdg_10k	query_gt_keep2	0	1	baseline	849649715	230000
ccdg_10k	query_gt_keep2	0	1	plan	849649715	230000
ccdg_10k	query_gt_keep2	0	2	plan	849649715	230000
ccdg_10k	query_gt_keep2	0	2	baseline	849649715	230000
ccdg_10k	query_gt_keep2	0	3	baseline	849649715	230000
ccdg_10k	query_gt_keep2	0	3	plan	849649715	230000
ccdg_10k	query_gt_keep2	0	4	plan	849649715	230000
ccdg_10k	query_gt_keep2	0	4	baseline	849649715	230000
ccdg_10k	query_gt_keep2	0	5	baseline	849649715	230000
ccdg_10k	query_gt_keep2	0	5	plan	849649715	230000
ccdg_10k	query_gt_all	0	1	baseline	2317447552	128230000
ccdg_10k	query_gt_all	0	1	plan	2317447552	128230000
ccdg_10k	query_gt_all	0	2	plan	2317447552	128230000
ccdg_10k	query_gt_all	0	2	baseline	2317447552	128230000
ccdg_10k	query_gt_all	0	3	baseline	2317447552	128230000
ccdg_10k	query_gt_all	0	3	plan	2317447552	128230000
ccdg_10k	query_gt_all	0	4	plan	2317447552	128230000
ccdg_10k	query_gt_all	0	4	baseline	2317447552	128230000
ccdg_10k	query_gt_all	0	5	baseline	2317447552	128230000
ccdg_10k	query_gt_all	0	5	plan	2317447552	128230000
ccdg_10k	stats	0	1	baseline	275851389	193371
ccdg_10k	stats	0	1	plan	275851389	193371
ccdg_10k	stats	0	2	plan	275851389	193371
ccdg_10k	stats	0	2	baseline	275851389	193371
ccdg_10k	stats	0	3	baseline	275851389	193371
ccdg_10k	stats	0	3	plan	275851389	193371
ccdg_10k	stats	0	4	plan	275851389	193371
ccdg_10k	stats	0	4	baseline	275851389	193371
ccdg_10k	stats	0	5	baseline	275851389	193371
ccdg_10k	stats	0	5	plan	275851389	193371
ccdg_10k	filter_gt_keep2	0	1	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	0	1	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	0	2	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	0	2	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	0	3	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	0	3	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	0	4	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	0	4	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	0	5	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	0	5	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	2	1	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	2	1	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	2	2	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	2	2	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	2	3	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	2	3	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	2	4	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	2	4	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	2	5	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	2	5	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	4	1	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	4	1	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	4	2	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	4	2	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	4	3	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	4	3	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	4	4	plan	361702864	6422724
ccdg_10k	filter_gt_keep2	4	4	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	4	5	baseline	361702864	6422724
ccdg_10k	filter_gt_keep2	4	5	plan	361702864	6422724
